product,db,sold
7f8409731aabb2e4215bfee665d88cfc77098878e4ac8d17a0f2f986e4d2b28b,7.95,406
f9a0934208a262d0b9be9d76b3899584e33ab6295b1f22f8694f24a213ffde1a,7.95,296
851fc365789e49ebd7f2a5b3cba048574476abca469624b875d24745107d913e,7.2,180
fad049192b415349ab98d00ac1e20e1b8a73c1fe30c82c5ed22691d3ad23fd06,7.05,152
3647a3d090e161f5463df3ffe508b51597a4bb99782c9a2a772a111082850959,7.35,137
5631f7b51a2d0dd7e8d79627a6c54567244752a22317c5d664fc47e1a05fe73b,7.35,112
566c464548c3489f6cdba4124c155c3a482263510a550bcfc76c5e8289cb85d2,8.1,89
e5798836172fe9746cd0b6c214bbbf2150864cd37a7f6dec229c29a1e8e7f976,7.2,73
3c8b98f26563c27b8e8a97fab9b5cc06c8074cc1de66337867fd2bb1a1d9b5b8,7.35,61
1dde84ac6325611ee6151fba61bc1b85e395d6cfb1d656bba320ea62a6cb3f9e,7.35,54
