product,db,source,sold
1607939158f4451713c8c2f1ea34368bbf1d97b08ad839b7d9305d2ad6b353be,2.55,product,
c72300b81239c2a7a6aecf1b83a4ee354db1329d5fea013183d818e1a4a42a30,3.9,product,
2864995817c9921aa3f5ebbd962d8cdfa17ce31ac48bb54f26623c1dab07f049,4.05,product,
f258c2e53b3d4341752455ce834a37b97989a98abd021b1985a788b417b55767,2.4,product,
23ab77f6181d312c70a8853fd0956792762dcba2f735f54db2082d2c339a4ee1,4.2,product,
90ca088e9bc6efbae0b5caae29e335bb12567c1b20da5b3a04c3b044a816a43e,2.7,product,
b7fe64ec1f4bdb7134228f2e4d5584d1a2f30338b6d8450fb304a059f2f69b1b,4.05,product,
31e07727296ca9dfb284fed09cdf6a5d19d222e3d76d03fb8920ce70a9831ddf,1.65,product,
0f20a4389a0f1e13f8505b54584ce16dfa4048d729727e030667968fbad5455c,1.2,product,
b0a47260533ba3a5833b0631564b56b9b3b996eb1c1a5562486dec22f0cb470f,3.15,product,
d23bf5f9239bfa1d8439383d05fdf5f0e6c12bf702a29b7272767ed67c675be7,4.35,product,
6f701270821718a2a60508a9c009c221bb08c7725f70eeaeb3d0545af0bf1a54,4.5,product,
8e2479af25c9e39a7d56fb3e6a6cef889188a6a7dfe5e97f3e5caaa9a6e80459,4.5,product,
0cb090ea99d125fe58e20f14e95e75791eae04a06f2f07e09605e4ce36ad2896,4.5,product,
5c4c562753d3691ce75c2bef0f6a9144b02e5262f2acc518b7850c443975f42e,4.2,product,
f593e2ac1b3fc86cc6ce38611fbf48476fcb69763b350f9b5b397fb92fdf01eb,1.5,product,
dda070a1928dbb9bfd638a39bd9c9991893bbafc4b46ff4eaa6ec4f15bb7d6b0,1.2,product,
92d325ff459a0a6a7f12553c68fef91a8332dbe89d3cf75a1582806e5e3c0a8b,1.35,product,
3318d66e0f4babd33141ba02da181ce2bcc702d18f036e3ad48c76054e40dc6a,1.5,product,
1fc44352526a72720553214212e742803ee5b86068107abd96375ac04b289c2b,1.5,product,
ee69a2fd84c53f1bfdd419b885599f853aba8b4a0712f4dfadd7f4e9fafaaba8,1.65,product,
204222d846b8ec4e57605111891b173e777b79d0011e837fafb26a0907153194,4.5,product,
3e74945f8ad6e6fc5a2d1c0f0f6886c95964b3fa8e8d79884d27ca2226eb6aa4,3.3,product,
bf9870e81b5358a52c06fc60c37463d848124bd0570af9f36e56945551cf57be,4.2,product,
4777e7fc28b3a7d0b1840e109e6a0d159804e97f31b60a672ff3552379dd7ae1,4.2,product,
53e269de8977acb57a2098dbcd67bac71879b7b24fcf4edc6770863867fdca44,4.2,product,
